PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Brandon Allen,2555365,QB,TEN,@JAX,72,,1,,,,,,,,,,0.00,,,,,,,,,,1,0.00
Josh Allen,2560955,QB,BUF,NYJ,,,,,,,,,,,,,0.00,,,,,,,,,,2,0.00
Kyle Allen,2561177,QB,DET,@CHI,,,,,,,,,,,,,0.00,,,,,,,,,,3,0.00
Tyson Bagent,2570467,QB,CHI,DET,,,,,,,,,,,,,0.00,,,,,,,,,,4,0.00
Connor Bazelak,2574581,QB,TB,CAR,,,,,,,,,,,,,0.00,,,,,,,,,,5,0.00
Jason Bean,2573169,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,6,0.00
Stetson Bennett,2569939,QB,LAR,ARI,,,,,,,,,,,,,0.00,,,,,,,,,,7,0.00
Tim Boyle,2561187,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,8,0.00
Carter Bradley,2573208,QB,JAX,TEN,,,,,,,,,,,,,0.00,,,,,,,,,,9,0.00
Teddy Bridgewater,2543465,QB,TB,CAR,,,,,,,,,,,,,0.00,,,,,,,,,,10,0.00
Jacoby Brissett,2555261,QB,ARI,@LAR,243,2,1,19,,,,,,,,1,0.00,3,,3,,,,,,,11,0.00
Max Brosmer,2574340,QB,MIN,GB,57,,,,,,,,,,,1,0.00,,,,,,,,,,12,0.00
Jake Browning,2562634,QB,CIN,CLE,,,,,,,,,,,,,0.00,,,,,,,,,,13,0.00
Shane Buechele,2566983,QB,BUF,NYJ,88,,,4,,,,,,,,,0.00,1,,1,,,,,,,14,0.00
Joe Burrow,2563722,QB,CIN,CLE,236,3,1,17,,,,,,,,,0.00,2,,2,,,,,,,15,0.00
Sean Clifford,2569762,QB,CIN,CLE,,,,,,,,,,,,,0.00,,,,,,,,,,16,0.00
Brady Cook,2574435,QB,NYJ,@BUF,60,1,,7,,,,,,,1,,0.00,3,,3,,,,,,,17,0.00
Kirk Cousins,2532820,QB,ATL,NO,180,1,1,,,,,,,,,,0.00,3,,3,,,,,,,18,0.00
Andy Dalton,2495143,QB,CAR,@TB,,,,,,,,,,,,,0.00,,,,,,,,,,19,0.00
Jayden Daniels,2572564,QB,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,20,0.00
Sam Darnold,2561036,QB,SEA,@SF,198,,,9,,,,,,,,1,0.00,6,,6,,,,,,,21,0.00
Jaxson Dart,2574419,QB,NYG,DAL,230,2,,32,,,,,,,,1,0.00,5,,5,,,,,,,22,0.00
Hunter Dekkers,2574397,QB,NO,@ATL,,,,,,,,,,,,,0.00,,,,,,,,,,23,0.00
Tommy DeVito,2570578,QB,NE,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,24,0.00
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,25,0.00
Joshua Dobbs,2558167,QB,NE,MIA,23,,,,,,,,,,,,0.00,3,,3,,,,,,,26,0.00
Jeff Driskel,2555262,QB,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,27,0.00
Sam Ehlinger,2566142,QB,DEN,LAC,,,,,,,,,,,,,0.00,,,,,,,,,,28,0.00
Taylor Elgersma,2574129,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,29,0.00
Quinn Ewers,2574321,QB,MIA,@NE,137,1,1,9,,,,,,,,,0.00,1,,1,,,,,,,30,0.00
Justin Fields,2565920,QB,NYJ,@BUF,,,,,,,,,,,,,0.00,,,,,,,,,,31,0.00
Joe Flacco,382,QB,CIN,CLE,,,,2,,,,,,,,,0.00,1,,1,,,,,,,32,0.00
Brett Gabbert,2574621,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,33,0.00
Dillon Gabriel,2574045,QB,CLE,@CIN,,,,,,,,,,,,,0.00,,,,,,,,,,34,0.00
Ethan Garbers,2573980,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,35,0.00
Jimmy Garoppolo,2543801,QB,LAR,ARI,,,,-3,,,,,,,,,0.00,3,,3,,,,,,,36,0.00
Jared Goff,2555334,QB,DET,@CHI,331,1,1,,,,,,,,,,0.00,,,,,,,,,,37,0.00
Will Grier,2562404,QB,DAL,@NYG,,,,,,,,,,,,,0.00,,,,,,,,,,38,0.00
Jake Haener,2570131,QB,NO,@ATL,,,,,,,,,,,,,0.00,,,,,,,,,,39,0.00
Sam Hartman,2573599,QB,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,40,0.00
Taylor Heinicke,2553656,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,41,0.00
Seth Henigan,2574215,QB,IND,@HOU,,,,,,,,,,,,,0.00,,,,,,,,,,42,0.00
Justin Herbert,2565045,QB,LAC,@DEN,,,,,,,,,,,,,0.00,,,,,,,,,,43,0.00
Hendon Hooker,2569744,QB,NYJ,@BUF,,,,,,,,,,,,,0.00,,,,,,,,,,44,0.00
Will Howard,2574494,QB,PIT,BAL,,,,,,,,,,,,,0.00,,,,,,,,,,45,0.00
Sam Howell,2568333,QB,PHI,WAS,,,,,,,,,,,,,0.00,,,,,,,,,,46,0.00
Tyler Huntley,2563560,QB,BAL,@PIT,,,,,,,,,,,,,0.00,,,,,,,,,,47,0.00
Jalen Hurts,2564832,QB,PHI,WAS,,,,,,,,,,,,,0.00,,,,,,,,,,48,0.00
Lamar Jackson,2560757,QB,BAL,@PIT,238,3,1,9,,,,,,,,,0.00,4,,4,,,,,,,49,0.00
Josh Johnson,264,QB,WAS,@PHI,131,1,1,45,1,,,,,,,1,0.00,9,,9,,,,,1,,50,0.00
Daniel Jones,2562299,QB,IND,@HOU,,,,,,,,,,,,,0.00,,,,,,,,,,51,0.00
Emory Jones,2572796,QB,ATL,NO,,,,,,,,,,,,,0.00,,,,,,,,,,52,0.00
Mac Jones,2566334,QB,SF,SEA,,,,,,,,,,,,,0.00,,,,,,,,,,53,0.00
Case Keenum,2532888,QB,CHI,DET,,,,,,,,,,,,,0.00,,,,,,,,,,54,0.00
Trey Lance,2566532,QB,LAC,@DEN,136,,1,69,,,,,,,,1,0.00,9,,9,,,,,,,55,0.00
