PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Israel Abanikanda,2570188,RB,DAL,@NYG,,,,,,,,,,,,,0.00,,,,,,,,,,1,0.00
Ameer Abdullah,2552374,RB,IND,@HOU,,,,1,,2,24,,,,,,0.00,1,2,3,2,2,100,,,,2,0.00
De'Von Achane,2570062,RB,MIA,@NE,,,,,,,,,,,,,0.00,,,,,,,,,,3,0.00
Salvon Ahmed,2565090,RB,IND,@HOU,,,,,,,,,,,,,0.00,,,,,,,,,,4,0.00
Cam Akers,2564319,RB,SEA,@SF,,,,,,,,,,,,,0.00,,,,,,,,,,5,0.00
Rasheen Ali,2571823,RB,BAL,@PIT,,,,,,,,,,,,,0.00,1,,1,,,,,,,6,0.00
Braelon Allen,2572354,RB,NYJ,@BUF,,,,,,,,,,,,,0.00,,,,,,,,,,7,0.00
LeQuint Allen Jr.,2574207,RB,JAX,TEN,,,,,,,,,,,,,0.00,,,,,,,,,,8,0.00
Tyler Allgeier,2567232,RB,ATL,NO,,,,16,,1,3,,,,,,0.00,7,1,8,1,2,50,,,,9,0.00
Tyler Badie,2567265,RB,DEN,LAC,,,,-2,,2,28,,,,,,0.00,2,2,4,2,2,100,,,,10,0.00
Emani Bailey,2572805,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,11,0.00
Rushawn Baker,2574413,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,12,0.00
Saquon Barkley,2560968,RB,PHI,WAS,,,,,,,,,,,,,0.00,,,,,,,,,,13,0.00
Andrew Beck,2562626,RB,NYJ,@BUF,,,,,,1,2,1,,,,,0.00,,1,1,1,2,50,1,,1,14,0.00
Trey Benson,2572405,RB,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,15,0.00
Ulysses Bentley IV,2574183,RB,IND,@HOU,,,,,,,,,,,,,0.00,,,,,,,,,,16,0.00
Micah Bernard,2574143,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,17,0.00
Tank Bigsby,2569882,RB,PHI,WAS,,,,75,1,1,31,,,,,,0.00,16,1,17,1,1,100,,5,2,18,0.00
Raheem Blackshear,2569477,RB,NYJ,@BUF,,,,,,,,,,,,,0.00,,,,,,,,,,19,0.00
Jaydon Blue,2574068,RB,DAL,@NYG,,,,64,1,,,,,,,,0.00,16,,16,,,,,5,1,20,0.00
Mike Boone,2561099,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,21,0.00
Gary Brightwell,2566364,RB,CIN,CLE,,,,,,,,,,,,,0.00,,,,,,,,,,22,0.00
British Brooks,2573686,RB,HOU,IND,,,,63,,,,,,,,,0.00,13,,13,,,,,,,23,0.00
Chris Brooks,2571114,RB,GB,@MIN,,,,61,,,,,,,,,0.00,13,,13,,,,,,,24,0.00
Jonathon Brooks,2571883,RB,CAR,@TB,,,,,,,,,,,,,0.00,,,,,,,,,,25,0.00
Tahj Brooks,2574024,RB,CIN,CLE,,,,,,,,,,,,,0.00,,,,,,,,,,26,0.00
Brittain Brown,2567868,RB,CHI,DET,,,,,,,,,,,,,0.00,,,,,,,,,,27,0.00
Chase Brown,2569642,RB,CIN,CLE,,,,72,,4,18,1,,,,,0.00,13,4,17,4,6,67,1,,1,28,0.00
Michael Burton,2552636,RB,DEN,LAC,,,,,,,,,,,,,0.00,,,,,,,,,,29,0.00
