PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Nate Adkins,2570930,TE,DEN,LAC,,,,,,,,,,,,,0.00,,,,,,,,,,1,0.00
Mo Alie-Cox,2558832,TE,IND,@HOU,,,,,,3,22,,,,,,0.00,,3,3,3,4,75,,,,2,0.00
Erick All,2571916,TE,CIN,CLE,,,,,,,,,,,,,0.00,,,,,,,,,,3,0.00
Davis Allen,2570017,TE,LAR,ARI,,,,,,,,,,,,,0.00,,,,,1,,,,,4,0.00
Mark Andrews,2560957,TE,BAL,@PIT,,,,,,2,14,,,,,,0.00,,2,2,2,3,67,,,,5,0.00
Elijah Arroyo,2574554,TE,SEA,@SF,,,,,,,,,,,,,0.00,,,,,,,,,,6,0.00
AJ Barner,2572513,TE,SEA,@SF,,,,,,2,14,,,,,,0.00,,2,2,2,3,67,,,,7,0.00
Gavin Bartholomew,2574337,TE,MIN,GB,,,,,,,,,,,,,0.00,,,,,,,,,,8,0.00
Brenden Bates,2572953,TE,CLE,@CIN,,,,,,1,6,,,,,,0.00,,1,1,1,1,100,,,,9,0.00
John Bates,2566580,TE,WAS,@PHI,,,,,,2,13,1,,,,,0.00,,2,2,2,2,100,1,,1,10,0.00
Jaheim Bell,2572288,TE,PIT,BAL,,,,,,,,,,,,,0.00,,,,,,,,,,11,0.00
Daniel Bellinger,2567985,TE,NYG,DAL,,,,,,2,38,1,,,,,0.00,,2,2,2,2,100,,,,12,0.00
Brock Bowers,2572219,TE,LV,KC,,,,,,,,,,,,,0.00,,,,,,,,,,13,0.00
Shawn Bowman,2573689,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,14,0.00
Jake Briningstool,2574240,TE,KC,@LV,,,,,,,,,,,,,0.00,,,,,,,,,,15,0.00
Pharaoh Brown,2559018,TE,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,16,0.00
Harrison Bryant,2563767,TE,HOU,IND,,,,,,,,,,,,,0.00,,,,,,,,,,17,0.00
Lawrence Cager,2565492,TE,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,18,0.00
Grant Calcaterra,2568063,TE,PHI,WAS,,,,,,2,21,1,,,,,0.00,,2,2,2,3,67,2,,,19,0.00
Sal Cannella,2567197,TE,CLE,@CIN,,,,,,,,,,,,,0.00,,,,,1,,,,,20,0.00
Oscar Cardenas,2574479,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,21,0.00
Stephen Carlson,2563044,TE,CHI,DET,,,,,,,,,,,,,0.00,,,,,,,,,,22,0.00
McCallan Castles,2572732,TE,GB,@MIN,,,,,,,,,,,,,0.00,,,,,,,,,,23,0.00
Tyler Conklin,2561027,TE,LAC,@DEN,,,,,,1,6,,,,,,0.00,,1,1,1,1,100,,,,24,0.00
Tanner Conner,2569017,TE,NYG,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,25,0.00
Pat Conroy,2574289,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,26,0.00
Jalin Conyers,2574320,TE,MIA,@NE,,,,,,,,,,,,,0.00,,,,,,,,,,27,0.00
John Copenhaver,2574212,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,28,0.00
Devin Culp,2572543,TE,TB,CAR,,,,,,,,,,,,,0.00,,,,,,,,,,29,0.00
Baylor Cupp,2572820,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,30,0.00
Drake Dabney,2574146,TE,GB,@MIN,,,,,,1,3,,,,,,0.00,,1,1,1,2,50,,,,31,0.00
Dominique Dafney,2565540,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,32,0.00
Zach Davidson,2566301,TE,NYG,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,33,0.00
Tyler Davis,2564178,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,34,0.00
Luke Deal,2574107,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,35,0.00
Josiah Deguara,2563980,TE,ARI,@LAR,,,,,,2,15,1,,,,,0.00,,2,2,2,2,100,1,,1,36,0.00
CJ Dippre,2574372,TE,NE,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,37,0.00
Will Dissly,2561046,TE,LAC,@DEN,,,,,,1,6,,,,,,0.00,,1,1,1,5,20,,,,38,0.00
Greg Dulcich,2567520,TE,MIA,@NE,,,,,,3,31,,,,,,0.00,,3,3,3,4,75,,,,39,0.00
Payne Durham,2570353,TE,TB,CAR,,,,,,,,,,,,,0.00,,,,,1,,,,,40,0.00
Ross Dwelley,2561060,TE,CAR,@TB,,,,,,,,,,,,,0.00,,,,,,,,,,41,0.00
Evan Engram,2557858,TE,DEN,LAC,,,,,,3,45,,,,,,0.00,,3,3,3,4,75,,,,42,0.00
Zach Ertz,2540158,TE,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,43,0.00
Mitchell Evans,2573978,TE,CAR,@TB,,,,,,1,5,,,,,,0.00,,1,1,1,2,50,,,,44,0.00
Gerald Everett,2557889,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,45,0.00
Rivaldo Fairweather,2574074,TE,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,46,0.00
Harold Fannin Jr.,2574043,TE,CLE,@CIN,,,,,,,,,,,,,0.00,,,,,,,,,,47,0.00
Noah Fant,2562383,TE,CIN,CLE,,,,,,1,5,,,,,1,0.00,,1,1,1,1,100,,,,48,0.00
Princeton Fant,2570891,TE,DAL,@NYG,,,,,,,,,,,,,0.00,,,,,,,,,,49,0.00
Luke Farrell,2566160,TE,SF,SEA,,,,,,,,,,,,,0.00,,,,,,,,,,50,0.00
Jake Ferguson,2567496,TE,DAL,@NYG,,,,,,1,5,,,,,,0.00,,1,1,1,2,50,,,,51,0.00
Terrance Ferguson,2574267,TE,LAR,ARI,,,,,,,,,,,,,0.00,,,,,,,,,,52,0.00
Thomas Fidone II,2574421,TE,NYG,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,53,0.00
Anthony Firkser,2558942,TE,DET,@CHI,,,,,,2,2,,,,,,0.00,,2,2,2,3,67,,,,54,0.00
Tucker Fisk,2569324,TE,LAC,@DEN,,,,,,,,,,,,,0.00,,,,,,,,,,55,0.00
John FitzPatrick,2567241,TE,GB,@MIN,,,,,,,,,,,,,0.00,,,,,,,,,,56,0.00
Kevin Foelsch,2573861,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,57,0.00
Cole Fotheringham,2568972,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,58,0.00
Feleipe Franks,2566683,TE,ATL,NO,,,,,,,,,,,,,0.00,,,,,,,,,,59,0.00
Pat Freiermuth,2566442,TE,PIT,BAL,,,,,,3,51,,,,,,0.00,,3,3,3,5,60,,,,60,0.00
Oronde Gadsden II,2574511,TE,LAC,@DEN,,,,,,2,23,,,,,,0.00,,2,2,2,2,100,,,,61,0.00
JJ Galbreath,2574492,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,62,0.00
Mike Gesicki,2560994,TE,CIN,CLE,,,,,,2,13,,,,,,0.00,,2,2,2,2,100,,,,63,0.00
Reggie Gilliam,2565378,TE,BUF,NYJ,,,,4,,1,22,,,,,,0.00,2,1,3,1,1,100,,,,64,0.00
Dallas Goedert,2560995,TE,PHI,WAS,,,,,,,,,,,,,0.00,,,,,,,,,,65,0.00
Thomas Gordon,2574655,TE,CHI,DET,,,,,,,,,,,,,0.00,,,,,,,,,,66,0.00
Cam Grandy,2572995,TE,CIN,CLE,,,,,,,,,,,,,0.00,,,,,,,,,,67,0.00
Kylen Granson,2566145,TE,PHI,WAS,,,,,,4,30,,,,,,0.00,,4,4,4,5,80,,,,68,0.00
Noah Gray,2566178,TE,KC,@LV,,,,,,3,30,,,,,,0.00,,3,3,3,5,60,,,,69,0.00
Seth Green,2568864,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,70,0.00
Jackson Hawes,2573962,TE,BUF,NYJ,,,,,,1,,,,,,,0.00,,1,1,1,1,100,,,,71,0.00
Gunnar Helm,2574152,TE,TEN,@JAX,,,,,,,,,,,,,0.00,,,,,,,,,,72,0.00
Hunter Henry,2555341,TE,NE,MIA,,,,,,5,56,,,,,,0.00,,5,5,5,5,100,,,,73,0.00
Patrick Herbert,2574216,TE,JAX,TEN,,,,,,,,,,,,,0.00,,,,,,,,,,74,0.00
Connor Heyward,2568138,TE,PIT,BAL,,,,2,1,1,3,,,,,,0.00,3,1,4,1,1,100,,1,,75,0.00
