PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Luther Burden III,2574004,WR,CHI,@SF,,,,,,8,138,1,,,,,29.00,,8,8,8,9,89,,,,1,23.80
Chris Olave,2567973,WR,NO,@TEN,,,,,,8,119,1,,,,,40.50,,8,8,8,11,73,1,,,2,21.90
Ja'Marr Chase,2565941,WR,CIN,ARI,,,,,,7,60,2,,,,,36.50,,7,7,7,9,78,2,,,3,21.50
Chris Godwin Jr.,2558105,WR,TB,@MIA,,,,,,7,108,1,,,,,52.20,,7,7,7,8,88,1,,,4,20.30
Christian Watson,2567637,WR,GB,BAL,,,,,,5,113,1,,,,,41.90,,5,5,5,6,83,,,,5,19.80
Stefon Diggs,2552608,WR,NE,@NYJ,,,,,,6,101,1,,,,,35.10,,6,6,6,6,100,1,,1,6,19.10
Michael Wilson,2570224,WR,ARI,@CIN,,,,,,5,89,1,,,,,20.80,,5,5,5,10,50,,,,7,17.40
Wan'Dale Robinson,2568012,WR,NYG,@LV,,,,,,11,113,,,,,,25.10,,11,11,11,14,79,,,,8,16.80
Jayden Higgins,2574170,WR,HOU,@LAC,,,,,,2,88,1,,,,,42.60,,2,2,2,4,50,,,,9,15.80
KaVontae Turpin,2569509,WR,DAL,@WAS,,,,,,1,86,1,,,,,37.10,,1,1,1,1,100,,,,10,15.10
Parker Washington,2569888,WR,JAX,@IND,,,,-5,,8,115,,,,,,25.80,1,8,9,8,10,80,,,,11,15.00
Jalen McMillan,2572552,WR,TB,@MIA,,,,,,7,114,,,,,,52.20,,7,7,7,9,78,,,,12,14.90
Isaac TeSlaa,2574120,WR,DET,@MIN,,,,,,3,49,1,,,,,31.90,,3,3,3,4,75,1,,1,13,13.90
Kevin Austin Jr.,2568954,WR,NO,@TEN,,,,,,4,52,1,,,,,40.50,,4,4,4,5,80,1,,1,14,13.20
Puka Nacua,2570026,WR,LAR,@ATL,,,,,,5,47,1,,,,,26.00,,5,5,5,10,50,1,,,15,13.20
Jaylin Noel,2574176,WR,HOU,@LAC,,,,2,,3,54,1,,,,,42.60,1,3,4,3,4,75,,,,16,13.10
Theo Wease Jr.,2574335,WR,MIA,TB,,,,,,1,63,1,,,,,15.80,,1,1,1,1,100,,,,17,12.80
Jordan Addison,2570074,WR,MIN,DET,,,,65,1,,,,,,,,17.50,1,,1,,1,,,,,18,12.50
Quentin Johnston,2570275,WR,LAC,HOU,,,,,,5,98,,,,,,20.10,,5,5,5,8,63,,,,19,12.30
Amon-Ra St. Brown,2566073,WR,DET,@MIN,,,,,,8,68,,,,,,31.90,,8,8,8,13,62,,,,20,12.30
Brandin Cooks,2543498,WR,BUF,PHI,,,,,,4,101,,,,,,24.90,,4,4,4,6,67,,,,21,12.10
