PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Joey Slye,2563132,K,TEN,NO,2,,,1,1,,2,,,,1,19.50
Brandon Aubrey,2571750,K,DAL,@WAS,3,,,,,1,2,,,,2,17.00
Will Reichard,2572273,K,MIN,DET,2,,,,,1,2,,,,3,16.00
Cam Little,2572147,K,JAX,@IND,2,,,,1,1,1,,,,4,14.00
Jake Moody,2570308,K,WAS,DAL,2,,,2,,,1,,,,5,13.00
Charlie Smyth,2572330,K,NO,@TEN,4,,,,,,2,,,,6,13.00
Zane Gonzalez,2558178,K,ATL,LAR,3,,,,,,2,,,1,7,12.00
Tyler Loop,2573940,K,BAL,@GB,5,,,1,1,,,,,,8,11.00
Harrison Butker,2558245,K,KC,DEN,1,,,,,1,1,,,,9,10.00
Ka'imi Fairbairn,2556521,K,HOU,@LAC,2,,,,,2,,,,,10,10.00
Jason Myers,2553112,K,SEA,@CAR,3,,,,1,1,,,,,11,10.00
Ben Sauls,2574499,K,NYG,@LV,4,,,1,1,,,,,,12,10.00
Andre Szmyt,2570470,K,CLE,PIT,1,,,,1,,1,,,,13,9.00
Chris Boswell,2550545,K,PIT,@CLE,,,,,,2,,,,,14,8.00
Jake Elliott,2558172,K,PHI,@BUF,1,,,1,,1,,,,,15,8.00
Wil Lutz,2556601,K,DEN,@KC,2,,,1,1,,,,,,16,8.00
Riley Patterson,2567013,K,MIA,TB,2,,,1,1,,,,,,17,8.00
Cairo Santos,2550636,K,CHI,@SF,5,,,1,,,,,,,18,8.00
Brandon McManus,2541556,K,GB,BAL,3,,,1,,,,,,,19,6.00
Evan McPherson,2565953,K,CIN,ARI,4,1,,,,,1,,,,20,6.00
Harrison Mevis,2572932,K,LAR,@ATL,3,,,,1,,,,,,21,6.00
Eddy Pineiro,2560842,K,SF,CHI,6,,,,,,,,,,22,6.00
Jake Bates,2571759,K,DET,@MIN,1,,,,,1,,,,,23,5.00
Andy Borregales,2574365,K,NE,@NYJ,6,,,,,,,,,,24,5.00
Daniel Carlson,2560993,K,LV,NYG,1,,,,,1,,,,,25,5.00
Blake Grupe,2571234,K,IND,JAX,2,,,,1,,,,,,26,5.00
Chase McLaughlin,2563203,K,TB,@MIA,2,,,,1,,,,,,27,5.00
Ryan Fitzgerald,2573979,K,CAR,SEA,1,,,,1,,,,,,28,4.00
Nick Folk,2507225,K,NYJ,NE,1,,,,1,,,,,,29,4.00
Chad Ryland,2570125,K,ARI,@CIN,2,,,,,,,,,,30,2.00
Tyler Bass,2563596,K,BUF,PHI,,,,,,,,,,,31,0.00
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,32,0.00
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,33,0.00
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,34,0.00
Cameron Dicker,2568435,K,LAC,HOU,1,1,,1,,,,,,1,35,0.00
Graham Gano,71309,K,NYG,@LV,,,,,,,,,,,36,0.00
Matt Gay,2562271,K,FA,Bye,,,,,,,,,,,37,0.00
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,38,0.00
Lucas Havrisik,2569534,K,GB,BAL,,,,,,,,,,,39,0.00
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,40,0.00
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,41,0.00
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,42,0.00
Joshua Karty,2572201,K,ARI,@CIN,,,,,,,,,,,43,0.00
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,44,0.00
Younghoe Koo,2559205,K,FA,Bye,,,,,,,,,,,45,0.00
Lenny Krieg,2573911,K,ATL,LAR,,,,,,,,,,,46,0.00
Jude McAtamney,2573503,K,FA,Bye,,,,,,,,,,,47,0.00
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,48,0.00
Matt Prater,2506677,K,BUF,PHI,,,,,,,,,,,49,0.00
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,50,0.00
Jason Sanders,2561153,K,MIA,TB,,,,,,,,,,,51,0.00
Spencer Shrader,2573175,K,IND,JAX,,,,,,,,,,,52,0.00
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,53,0.00
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,54,0.00
Matthew Wright,2562968,K,BUF,PHI,,,,,,,,,,,55,0.00
Cade York,2567487,K,FA,Bye,,,,,,,,,,,56,0.00
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,57,0.00
Mike Badgley,2560965,K,FA,Bye,,1,,,,,,,,,58,-3.00
