PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Trevor Lawrence,2566163,QB,JAX,NYJ,330,5,,51,1,,,,,,,,44.70,5,,5,,,,,2,,1,44.30
Bo Nix,2572003,QB,DEN,GB,302,4,,10,,,,,,,,,29.08,7,,7,,,,,,,2,29.08
Brock Purdy,2568216,QB,SF,TEN,295,3,,44,,,,,,,,1,26.20,7,,7,,,,,,,3,26.20
Kirk Cousins,2532820,QB,ATL,@TB,373,3,,,,,,,,,,1,25.92,,,,,,,,,,4,25.92
Jared Goff,2555334,QB,DET,@LAR,338,3,,,,,,,,,,,25.52,,,,,,,,,,5,25.52
Josh Allen,2560955,QB,BUF,@NE,193,3,,48,,,,,,,,,24.52,11,,11,,,,,,,6,24.52
J.J. McCarthy,2572270,QB,MIN,@DAL,250,2,1,15,1,,,,,,,,23.50,4,,4,,,,,1,1,7,23.50
Jalen Hurts,2564832,QB,PHI,LV,175,3,,39,,,,,,,,,25.12,7,,7,,,,,,,8,22.90
C.J. Stroud,2569819,QB,HOU,ARI,260,3,,10,,,,,,,,1,21.40,6,,6,,,,,2,1,9,21.40
Jacoby Brissett,2555261,QB,ARI,@HOU,249,3,1,6,,,,,,,,,20.56,3,,3,,,,,,,10,20.56
Drake Maye,2572294,QB,NE,BUF,155,,1,43,2,,,,,,,,20.50,4,,4,,,,,,,11,20.50
Jaxson Dart,2574419,QB,NYG,WAS,246,2,1,63,,,,,,,,1,20.14,9,,9,,,,,,,12,20.14
Matthew Stafford,79860,QB,LAR,DET,368,2,1,2,,,,,,,,1,19.92,1,,1,,,,,,,13,19.92
Baker Mayfield,2560800,QB,TB,ATL,277,2,1,1,,,,,,,1,,19.18,1,,1,,,,,,,14,19.18
Tyler Shough,2574406,QB,NO,CAR,272,1,,32,,,,,,,,,18.08,8,,8,,,,,,,15,18.08
Caleb Williams,2571913,QB,CHI,CLE,242,2,,13,,,,,,,,1,17.85,3,,3,,,,,,,16,17.85
Aaron Rodgers,2506363,QB,PIT,MIA,224,2,,,,,,,,,,,16.96,,,,,,,,,,17,16.96
Tua Tagovailoa,2564499,QB,MIA,@PIT,253,2,1,1,,,,,,,,,16.22,1,,1,,,,,,,18,16.22
Bryce Young,2569606,QB,CAR,@NO,163,1,,49,,,,,,,,,15.42,7,,7,,,,,,,19,15.42
Cam Ward,2574164,QB,TEN,@SF,170,2,,2,,,,,,,,,15.00,1,,1,,,,,,,20,15.00
Jordan Love,2564007,QB,GB,@DEN,276,1,2,29,,,,,,,,,13.94,3,,3,,,,,,,21,13.94
Lamar Jackson,2560757,QB,BAL,@CIN,150,2,1,26,,,,,,,,1,13.30,2,,2,,,,,,,22,13.60
Patrick Mahomes,2558125,QB,KC,LAC,189,,1,15,1,,,,,,,,11.94,2,,2,,,,,,,23,13.06
Marcus Mariota,2552466,QB,WAS,@NYG,211,1,,43,,,,,,,,2,12.74,10,,10,,,,,,,24,12.74
Dak Prescott,2555260,QB,DAL,MIN,294,,,2,,,,,,,,,11.96,1,,1,,,,,,,25,11.96
Justin Herbert,2565045,QB,LAC,@KC,210,1,1,,,,,,,,,,10.40,2,,2,,,,,,,26,10.40
Sam Darnold,2561036,QB,SEA,IND,271,,,5,,,,,,,,1,9.34,4,,4,,,,,,,27,9.34
Brady Cook,2574435,QB,NYJ,@JAX,176,1,3,39,,,,,,,,,8.94,6,,6,,,,,,,28,8.94
Philip Rivers,2506121,QB,IND,@SEA,120,1,1,,,,,,,,,1,5.63,1,,1,,,,,,,29,5.63
Joe Burrow,2563722,QB,CIN,BAL,225,,2,5,,,,,,,,,5.50,2,,2,,,,,,,30,5.50
Shedeur Sanders,2574063,QB,CLE,@CHI,177,,3,24,,,,,,,,,3.48,2,,2,,,,,,,31,3.48
Tanner McKee,2570206,QB,PHI,LV,33,,,9,,,,,,,,,25.12,1,,1,,,,,,,32,2.22
Kenny Pickett,2568162,QB,LV,@PHI,64,,1,7,,,,,,,,,1.26,2,,2,,,,,,,33,1.26
Nick Mullens,2558979,QB,JAX,NYJ,,,,-2,,,,,,,,,44.70,3,,3,,,,,,,34,0.40
Brandon Allen,2555365,QB,TEN,@SF,,,,,,,,,,,,,15.00,,,,,,,,,,35,0.00
Kyle Allen,2561177,QB,DET,@LAR,,,,,,,,,,,,,25.52,,,,,,,,,,36,0.00
Tyson Bagent,2570467,QB,CHI,CLE,,,,,,,,,,,,,17.85,,,,,,,,,,37,0.00
Connor Bazelak,2574581,QB,TB,ATL,,,,,,,,,,,,,19.18,,,,,,,,,,38,0.00
Jason Bean,2573169,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,39,0.00
Stetson Bennett,2569939,QB,LAR,DET,,,,,,,,,,,,,19.92,,,,,,,,,,40,0.00
Tim Boyle,2561187,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,41,0.00
Carter Bradley,2573208,QB,JAX,NYJ,,,,,,,,,,,,,44.70,,,,,,,,,,42,0.00
Teddy Bridgewater,2543465,QB,TB,ATL,,,,,,,,,,,,,19.18,,,,,,,,,,43,0.00
Max Brosmer,2574340,QB,MIN,@DAL,,,,,,,,,,,,,23.50,,,,,,,,,,44,0.00
Jake Browning,2562634,QB,CIN,BAL,,,,,,,,,,,,,5.50,,,,,,,,,,45,0.00
Shane Buechele,2566983,QB,BUF,@NE,,,,,,,,,,,,,24.52,,,,,,,,,,46,0.00
Sean Clifford,2569762,QB,CIN,BAL,,,,,,,,,,,,,5.50,,,,,,,,,,47,0.00
Andy Dalton,2495143,QB,CAR,@NO,,,,,,,,,,,,,15.42,,,,,,,,,,48,0.00
Jayden Daniels,2572564,QB,WAS,@NYG,,,,,,,,,,,,,12.74,,,,,,,,,,49,0.00
Hunter Dekkers,2574397,QB,NO,CAR,,,,,,,,,,,,,18.08,,,,,,,,,,50,0.00
Tommy DeVito,2570578,QB,NE,BUF,,,,,,,,,,,,,20.50,,,,,,,,,,51,0.00
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,52,0.00
Joshua Dobbs,2558167,QB,NE,BUF,,,,,,,,,,,,,20.50,,,,,,,,,,53,0.00
Jeff Driskel,2555262,QB,WAS,@NYG,,,,,,,,,,,,,12.74,,,,,,,,,,54,0.00
Sam Ehlinger,2566142,QB,DEN,GB,,,,,,,,,,,,,29.08,,,,,,,,,,55,0.00
Taylor Elgersma,2574129,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,56,0.00
Quinn Ewers,2574321,QB,MIA,@PIT,,,,,,,,,,,,,16.22,,,,,,,,,,57,0.00
Justin Fields,2565920,QB,NYJ,@JAX,,,,,,,,,,,,,8.94,,,,,,,,,,58,0.00
Joe Flacco,382,QB,CIN,BAL,,,,,,,,,,,,,5.50,,,,,,,,,,59,0.00
Brett Gabbert,2574621,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,60,0.00
Dillon Gabriel,2574045,QB,CLE,@CHI,,,,,,,,,,,,,3.48,,,,,,,,,,61,0.00
Ethan Garbers,2573980,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,62,0.00
Jimmy Garoppolo,2543801,QB,LAR,DET,,,,,,,,,,,,,19.92,,,,,,,,,,63,0.00
Will Grier,2562404,QB,DAL,MIN,,,,,,,,,,,,,11.96,,,,,,,,,,64,0.00
Jake Haener,2570131,QB,NO,CAR,,,,,,,,,,,,,18.08,,,,,,,,,,65,0.00
Sam Hartman,2573599,QB,WAS,@NYG,,,,,,,,,,,,,12.74,,,,,,,,,,66,0.00
Taylor Heinicke,2553656,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,67,0.00
Seth Henigan,2574215,QB,IND,@SEA,,,,,,,,,,,,,5.63,,,,,,,,,,68,0.00
Hendon Hooker,2569744,QB,NYJ,@JAX,,,,,,,,,,,,,8.94,,,,,,,,,,69,0.00
Will Howard,2574494,QB,PIT,MIA,,,,,,,,,,,,,16.96,,,,,,,,,,70,0.00
Sam Howell,2568333,QB,PHI,LV,,,,,,,,,,,,,25.12,,,,,,,,,,71,0.00
Josh Johnson,264,QB,WAS,@NYG,,,,,,,,,,,,,12.74,,,,,,,,,,72,0.00
Daniel Jones,2562299,QB,IND,@SEA,,,,,,,,,,,,,5.63,,,,,,,,,,73,0.00
Emory Jones,2572796,QB,ATL,@TB,,,,,,,,,,,,,25.92,,,,,,,,,,74,0.00
Mac Jones,2566334,QB,SF,TEN,,,,,,,,,,,,,26.20,,,,,,,,,,75,0.00
Case Keenum,2532888,QB,CHI,CLE,,,,,,,,,,,,,17.85,,,,,,,,,,76,0.00
Trey Lance,2566532,QB,LAC,@KC,,,,,,,,,,,,,10.40,,,,,,,,,,77,0.00
Devin Leary,2571832,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,78,0.00
Riley Leonard,2574190,QB,IND,@SEA,,,,,,,,,,,,,5.63,,,,,,,,,,79,0.00
Will Levis,2569798,QB,TEN,@SF,,,,,,,,,,,,,15.00,,,,,,,,,,80,0.00
Drew Lock,2562305,QB,SEA,IND,,,,,,,,,,,,,9.34,,,,,,,,,,81,0.00
Adrian Martinez,2570984,QB,SF,TEN,,,,,,,,,,,,,26.20,,,,,,,,,,82,0.00
Kyle McCord,2574465,QB,PHI,LV,,,,,,,,,,,,,25.12,,,,,,,,,,83,0.00
Graham Mertz,2574175,QB,HOU,ARI,,,,,,,,,,,,,21.40,,,,,,,,,,84,0.00
Cam Miller,2574304,QB,MIA,@PIT,,,,,,,,,,,,,16.22,,,,,,,,,,85,0.00
Davis Mills,2566136,QB,HOU,ARI,,,,,,,,,,,,,21.40,,,,,,,,,,86,0.00
Jalen Milroe,2574570,QB,SEA,IND,,,,,,,,,,,,,9.34,,,,,,,,,,87,0.00
Joe Milton III,2572297,QB,DAL,MIN,,,,,,,,,,,,,11.96,,,,,,,,,,88,0.00
Tanner Mordecai,2573533,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,89,0.00
Kyler Murray,2562382,QB,ARI,@HOU,,,,,,,,,,,,,20.56,,,,,,,,,,90,0.00
Aidan O'Connell,2570044,QB,LV,@PHI,,,,,,,,,,,,,1.26,,,,,,,,,,91,0.00
Chris Oladokun,2568153,QB,KC,LAC,,,,,,,,,,,,,11.94,,,,,,,,,,92,0.00
Michael Penix Jr.,2571814,QB,ATL,@TB,,,,,,,,,,,,,25.92,,,,,,,,,,93,0.00
Bryce Perkins,2564382,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,94,0.00
Jack Plummer,2572941,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,95,0.00
Michael Pratt,2572054,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,96,0.00
Spencer Rattler,2572327,QB,NO,CAR,,,,,,,,,,,,,18.08,,,,,,,,,,97,0.00
Austin Reed,2572971,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,98,0.00
Anthony Richardson,2569864,QB,IND,@SEA,,,,,,,,,,,,,5.63,,,,,,,,,,99,0.00
Desmond Ridder,2567256,QB,GB,@DEN,,,,,,,,,,,,,13.94,,,,,,,,,,100,0.00
Kurtis Rourke,2574546,QB,SF,TEN,,,,,,,,,,,,,26.20,,,,,,,,,,101,0.00
Mason Rudolph,2560860,QB,PIT,MIA,,,,,,,,,,,,,16.96,,,,,,,,,,102,0.00
Cooper Rush,2559242,QB,BAL,@CIN,,,,,,,,,,,,,13.30,,,,,,,,,,103,0.00
Brett Rypien,2562718,QB,MIN,@DAL,,,,,,,,,,,,,23.50,,,,,,,,,,104,0.00
Trevor Siemian,2553457,QB,TEN,@SF,,,,,,,,,,,,,15.00,,,,,,,,,,105,0.00
Kedon Slovis,2573178,QB,ARI,@HOU,,,,,,,,,,,,,20.56,,,,,,,,,,106,0.00
Geno Smith,2539335,QB,LV,@PHI,,,,,,,,,,,,,1.26,,,,,,,,,,107,0.00
Easton Stick,2562745,QB,ATL,@TB,,,,,,,,,,,,,25.92,,,,,,,,,,108,0.00
Jarrett Stidham,2562746,QB,DEN,GB,,,,,,,,,,,,,29.08,,,,,,,,,,109,0.00
Nate Sudfeld,2555427,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,110,0.00
Tyrod Taylor,2495240,QB,NYJ,@JAX,,,,,,,,,,,,,8.94,,,,,,,,,,111,0.00
Skylar Thompson,2567895,QB,PIT,MIA,,,,,,,,,,,,,16.96,,,,,,,,,,112,0.00
Dorian Thompson-Robinson,2569672,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,113,0.00
Payton Thorne,2574041,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,114,0.00
Kyle Trask,2566571,QB,ATL,@TB,,,,,,,,,,,,,25.92,,,,,,,,,,115,0.00
Mitchell Trubisky,2558008,QB,BUF,@NE,,,,,,,,,,,,,24.52,,,,,,,,,,116,0.00
Clayton Tune,2570236,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,117,0.00
DJ Uiagalelei,2574532,QB,LAC,@KC,,,,,,,,,,,,,10.40,,,,,,,,,,118,0.00
Deshaun Watson,2558063,QB,CLE,@CHI,,,,,,,,,,,,,3.48,,,,,,,,,,119,0.00
Carson Wentz,2555259,QB,MIN,@DAL,,,,,,,,,,,,,23.50,,,,,,,,,,120,0.00
Mike White,2560929,QB,CAR,@NO,,,,,,,,,,,,,15.42,,,,,,,,,,121,0.00
Malik Willis,2567667,QB,GB,@DEN,,,,,,,,,,,,,13.94,,,,,,,,,,122,0.00
Russell Wilson,2532975,QB,NYG,WAS,,,,,,,,,,,,,20.14,,,,,,,,,,123,0.00
Zach Wilson,2566391,QB,MIA,@PIT,,,,,,,,,,,,,16.22,,,,,,,,,,124,0.00
Dresser Winn,2569990,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,125,0.00
Jameis Winston,2552033,QB,NYG,WAS,,,,,,,,,,,,,20.14,,,,,,,,,,126,0.00
John Wolford,2561718,QB,MIN,@DAL,,,,,,,,,,,,,23.50,,,,,,,,,,127,0.00
Logan Woodside,2560942,QB,ARI,@HOU,,,,,,,,,,,,,20.56,,,,,,,,,,128,0.00
Ben Wooldridge,2574390,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,129,0.00
Bailey Zappe,2567961,QB,CLE,@CHI,,,,,,,,,,,,,3.48,,,,,,,,,,130,0.00
Tyler Huntley,2563560,QB,BAL,@CIN,,,,-3,,,,,,,,,13.30,3,,3,,,,,,,131,-0.30
Gardner Minshew,2562796,QB,KC,LAC,22,,1,,,,,,,,,,11.94,,,,,,,,,,132,-1.12
