PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Ashton Jeanty,2574298,RB,LV,@HOU,,,,128,1,1,60,1,,,,,32.70,24,1,25,1,2,50,,2,,1,31.30
Chase Brown,2569642,RB,CIN,@MIA,,,,66,1,4,43,2,,,,,43.30,12,4,16,4,4,100,2,1,1,2,30.90
Christian McCaffrey,2557997,RB,SF,@IND,,,,117,,6,29,2,,,,,31.60,21,6,27,6,8,75,3,6,4,3,29.60
Jaylen Warren,2568493,RB,PIT,@DET,,,,143,2,2,8,,,,,,49.40,14,2,16,2,2,100,1,4,2,4,28.10
Bijan Robinson,2569558,RB,ATL,@ARI,,,,76,,7,92,1,,,,,34.10,16,7,23,7,11,64,2,3,2,5,26.30
James Cook,2567328,RB,BUF,@CLE,,,,117,2,1,17,,,,,,37.90,16,1,17,1,2,50,,2,,6,25.90
Kenneth Walker III,2568282,RB,SEA,LAR,,,,100,1,3,64,,,,,,42.30,11,3,14,3,3,100,,,,7,25.40
Derrick Henry,2556075,RB,BAL,NE,,,,128,2,,,,,,,1,25.30,18,,18,,,,,1,1,8,22.80
Kenneth Gainwell,2566397,RB,PIT,@DET,,,,50,,5,78,1,,,,,49.40,9,5,14,5,7,71,1,2,1,9,21.30
Saquon Barkley,2560968,RB,PHI,@WAS,,,,132,1,,,,,,1,,31.20,21,,21,,2,,,2,2,10,21.20
RJ Harvey,2574090,RB,DEN,JAX,,,,50,1,4,71,,,,,,24.50,7,4,11,4,5,80,,,,11,20.10
Tyjae Spears,2569795,RB,TEN,KC,,,,52,1,5,53,,,,,,29.50,13,5,18,5,5,100,2,4,2,12,19.00
Jahmyr Gibbs,2569747,RB,DET,PIT,,,,2,,10,66,1,,,,1,19.40,7,10,17,10,13,77,3,3,4,13,16.80
Rhamondre Stevenson,2566343,RB,NE,@BAL,,,,51,1,2,27,,,,1,,18.50,8,2,10,2,3,67,,,,14,16.80
De'Von Achane,2570062,RB,MIA,CIN,,,,81,1,3,9,,,,,,32.20,15,3,18,3,3,100,,1,,15,16.50
Omarion Hampton,2574514,RB,LAC,@DAL,,,,85,1,1,10,,,,,,20.60,16,1,17,1,2,50,,3,1,16,16.00
Zach Charbonnet,2570335,RB,SEA,LAR,,,,32,1,4,22,,,,1,,42.30,9,4,13,4,4,100,1,2,,17,15.40
Jonathan Taylor,2564148,RB,IND,SF,,,,46,1,3,33,,,,,,18.20,16,3,19,3,3,100,,3,2,18,15.40
Travis Etienne,2566157,RB,JAX,@DEN,,,,50,,4,16,1,,,,,15.60,16,4,20,4,5,80,1,,1,19,14.60
Chris Rodriguez Jr.,2570386,RB,WAS,PHI,,,,63,1,1,6,,,,,,26.10,15,1,16,1,1,100,,4,1,20,13.40
Blake Corum,2572189,RB,LAR,@SEA,,,,48,1,1,13,,,,,,22.60,14,1,15,1,2,50,,2,2,21,12.60
Kyle Monangai,2574015,RB,CHI,GB,,,,50,,3,43,,,,,,19.80,9,3,12,3,4,75,,,,22,11.80
Jaylen Wright,2572261,RB,MIA,CIN,,,,35,1,1,18,,,,,,32.20,9,1,10,1,2,50,,1,,23,11.80
Samaje Perine,2558138,RB,CIN,@MIA,,,,25,1,2,16,,,,,,43.30,7,2,9,2,3,67,,1,,24,11.10
Isiah Pacheco,2567808,RB,KC,@TEN,,,,34,,6,41,,,,,,11.60,8,6,14,6,7,86,,,,25,10.50
Aaron Jones,2558116,RB,MIN,@NYG,,,,85,,2,8,,,,,,15.40,21,2,23,2,3,67,,,,26,10.30
Kyren Williams,2567862,RB,LAR,@SEA,,,,70,,3,15,,,,,,22.60,23,3,26,3,6,50,,,,27,10.00
Tank Bigsby,2569882,RB,PHI,@WAS,,,,37,1,,,,,,,,31.20,4,,4,,,,,,,28,9.70
Jawhar Jordan,2572099,RB,HOU,LV,,,,53,,5,17,,,,,,19.10,15,5,20,5,5,100,,,,29,9.50
Tony Pollard,2562699,RB,TEN,KC,,,,102,,,,,,,,1,29.50,21,,21,,,,,,,30,9.20
Emanuel Wilson,2570912,RB,GB,@CHI,,,,82,,,,,,,,,14.00,14,,14,,,,,,,31,9.20
Tyrone Tracy Jr.,2572351,RB,NYG,MIN,,,,71,,2,7,,,,,,13.90,16,2,18,2,2,100,,,,32,8.80
Jacory Croskey-Merritt,2574608,RB,WAS,PHI,,,,25,1,,,,,,,,26.10,8,,8,,,,,4,1,33,8.50
Isaiah Davis,2572360,RB,NYJ,@NO,,,,8,,4,52,,,,,,15.30,3,4,7,4,4,100,,,,34,8.00
D'Andre Swift,2563965,RB,CHI,GB,,,,58,,2,12,,,,,,19.80,13,2,15,2,2,100,,,,35,8.00
Tyler Allgeier,2567232,RB,ATL,@ARI,,,,79,,1,-6,,,,,,34.10,16,1,17,1,1,100,,,,36,7.80
Ty Johnson,2562293,RB,BUF,@CLE,,,,16,1,,,,,,,,37.90,3,,3,,,,,2,,37,7.60
Quinshon Judkins,2574053,RB,CLE,BUF,,,,22,,5,29,,,,,,20.20,8,5,13,5,6,83,,,,38,7.60
Trayveon Williams,2562600,RB,CLE,BUF,,,,17,,4,38,,,,,,20.20,3,4,7,4,4,100,,,,39,7.50
Breece Hall,2568030,RB,NYJ,@NO,,,,54,,2,9,,,,,,15.30,16,2,18,2,3,67,,,,40,7.30
Bucky Irving,2572546,RB,TB,@CAR,,,,71,,,,,,,,,20.40,19,,19,,,,,,,41,7.10
Rachaad White,2568315,RB,TB,@CAR,,,,45,,2,15,,,,,,20.40,5,2,7,2,2,100,,,,42,7.00
Michael Carter,2566382,RB,ARI,ATL,,,,65,,,,,,,,,12.70,11,,11,,2,,,,,43,6.50
Rico Dowdle,2565295,RB,CAR,TB,,,,29,,4,14,,,,,,10.20,9,4,13,4,6,67,,,,44,6.30
Sean Tucker,2571629,RB,TB,@CAR,,,,3,1,,,,,,,,20.40,4,,4,,,,,3,2,45,6.30
Javonte Williams,2566049,RB,DAL,LAC,,,,34,,2,9,,,,,,9.50,9,2,11,2,3,67,,,,46,5.30
Audric Estimé,2571994,RB,NO,NYJ,,,,19,,3,17,,,,,,5.40,5,3,8,3,4,75,,,,47,5.10
Raheim Sanders,2574529,RB,CLE,BUF,,,,42,,1,4,,,,,,20.20,11,1,12,1,1,100,,,,48,5.10
Devin Singletary,2562734,RB,NYG,MIN,,,,47,,1,-1,,,,,,13.90,11,1,12,1,1,100,,,,49,5.10
Nick Chubb,2561021,RB,HOU,LV,,,,33,,1,9,,,,,,19.10,6,1,7,1,1,100,,,,50,4.70
Ray Davis,2571862,RB,BUF,@CLE,,,,14,,2,20,,,,,,37.90,3,2,5,2,2,100,,,,51,4.40
Jeremy McNichols,2557977,RB,WAS,PHI,,,,3,,2,9,,,,1,,26.10,1,2,3,2,3,67,,,,52,4.20
Chuba Hubbard,2565899,RB,CAR,TB,,,,27,,1,7,,,,,,10.20,6,1,7,1,1,100,,,,53,3.90
Josh Jacobs,2562377,RB,GB,@CHI,,,,36,,2,12,,,,,1,14.00,12,2,14,2,2,100,,,,54,3.80
Jaleel McLaughlin,2570942,RB,DEN,JAX,,,,37,,,,,,,,,24.50,5,,5,,,,,,,55,3.70
Hassan Haskins,2567649,RB,LAC,@DAL,,,,14,,,,,,,,,20.60,4,,4,,,,,,,56,3.50
Corey Kiner,2574541,RB,ARI,ATL,,,,32,,,,,,,,,12.70,6,,6,,,,,,,57,3.20
Zavier Scott,2570563,RB,MIN,@NYG,,,,4,,1,8,,,,,,15.40,2,1,3,1,1,100,,,,58,3.20
British Brooks,2573686,RB,HOU,LV,,,,,,,,,,,,,19.10,,,,,,,,,,59,3.00
