PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Kyle Pitts,2565830,TE,ATL,@TB,,,,,,11,166,3,,,,,43.80,,11,11,11,12,92,3,,2,1,40.10
Trey McBride,2568117,TE,ARI,@HOU,,,,,,12,134,2,,,,,33.30,,12,12,12,13,92,2,1,1,2,31.40
Colby Parkinson,2565180,TE,LAR,DET,,,,,,5,75,2,,,,,27.70,,5,5,5,7,71,3,1,,3,23.50
Darren Waller,2552408,TE,MIA,@PIT,,,,,,7,66,2,,,,,32.70,,7,7,7,8,88,2,,1,4,22.10
Dallas Goedert,2560995,TE,PHI,LV,,,,,,6,70,2,,,,,23.50,,6,6,6,7,86,3,,3,5,22.00
George Kittle,2558266,TE,SF,TEN,,,,,,8,88,1,,,,,18.80,,8,8,8,9,89,1,,1,6,18.80
Dalton Schultz,2560866,TE,HOU,ARI,,,,,,8,76,1,,,,,21.30,,8,8,8,9,89,2,,2,7,17.60
Dawson Knox,2562681,TE,BUF,@NE,,,,,,3,37,2,,,,,25.00,,3,3,3,4,75,3,,3,8,17.20
Gunnar Helm,2574152,TE,TEN,@SF,,,,,,4,49,1,,,,,18.80,,4,4,4,4,100,,,,9,12.90
Travis Kelce,2540258,TE,KC,LAC,,,,,,7,70,,,,,,12.00,,7,7,7,9,78,,,,10,12.00
Jonnu Smith,2558207,TE,PIT,MIA,,,,14,1,2,12,,,,,,26.00,1,2,3,2,2,100,,,,11,9.60
Theo Johnson,2572333,TE,NYG,WAS,,,,,,3,72,,,,,,13.70,,3,3,3,4,75,,,,12,8.70
T.J. Hockenson,2562378,TE,MIN,@DAL,,,,,,4,66,,,,,,12.40,,4,4,4,5,80,,,,13,8.60
Harold Fannin Jr.,2574043,TE,CLE,@CHI,,,,2,,7,48,,,,,,10.00,1,7,8,7,14,50,,,,14,8.50
Oronde Gadsden II,2574511,TE,LAC,@KC,,,,,,4,61,,,,,,8.10,,4,4,4,5,80,,,,15,8.10
Colston Loveland,2574014,TE,CHI,CLE,,,,-2,,4,63,,,,,,11.90,1,4,5,4,5,80,,,,16,8.10
Brock Bowers,2572219,TE,LV,@PHI,,,,,,6,28,,,,,,7.90,,6,6,6,8,75,,,,17,7.30
Luke Musgrave,2569780,TE,GB,@DEN,,,,,,4,52,,,,,,10.50,,4,4,4,6,67,,,,18,7.20
