PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Amon-Ra St. Brown,2566073,WR,DET,@LAR,,,,,,13,164,2,,,,,60.30,,13,13,13,18,72,7,2,3,1,34.90
Puka Nacua,2570026,WR,LAR,DET,,,,8,,9,181,,,,,,33.90,2,9,11,9,11,82,,,,2,23.40
Jameson Williams,2567565,WR,DET,@LAR,,,,,,7,134,1,,,,,60.30,,7,7,7,10,70,1,,1,3,22.90
Nico Collins,2566127,WR,HOU,ARI,,,,,,3,85,2,,,,,25.00,,3,3,3,4,75,2,,2,4,22.00
DJ Moore,2560813,WR,CHI,CLE,,,,,,4,69,2,,,,,32.30,,4,4,4,5,80,1,,1,5,20.90
Courtland Sutton,2560888,WR,DEN,GB,,,,,,7,113,1,,,,,64.50,,7,7,7,10,70,2,,,6,20.80
Ja'Marr Chase,2565941,WR,CIN,BAL,,,,,,10,132,,,,,,20.30,,10,10,10,16,63,,,,7,18.20
Jalen Nailor,2567925,WR,MIN,@DAL,,,,-2,,3,47,2,,,,,28.80,1,3,4,3,5,60,1,,1,8,18.00
Troy Franklin,2571997,WR,DEN,GB,,,,3,,6,85,1,,,,,64.50,1,6,7,6,6,100,,,,9,17.80
Mike Evans,2543468,WR,TB,ATL,,,,,,6,132,,,,,,41.90,,6,6,6,12,50,,,,10,17.70
Chris Olave,2567973,WR,NO,CAR,,,,,,6,85,1,,,,,30.30,,6,6,6,9,67,1,,,11,17.50
Jauan Jennings,2565114,WR,SF,TEN,,,,,,3,37,2,,,,,37.10,,3,3,3,5,60,4,,2,12,17.20
Adonai Mitchell,2572129,WR,NYJ,@JAX,,,,-4,,6,58,1,,,,,30.20,1,6,7,6,9,67,1,,1,13,15.90
Zay Flowers,2569573,WR,BAL,@CIN,,,,,,3,68,1,,,,,20.10,,3,3,3,5,60,,,,14,15.80
Brian Thomas Jr.,2572162,WR,JAX,NYJ,,,,5,,4,66,1,,,,,29.90,1,4,5,4,7,57,2,,1,15,15.10
